날짜,강수량(mm)
2020.12.22,
2020.12.23,0
2020.12.24,
2020.12.25,
2020.12.26,
2020.12.27,0
2020.12.28,1.3
2020.12.29,0.2
2020.12.30,
2020.12.31,0
2021.1.1,
2021.1.2,
2021.1.3,
2021.1.4,0
2021.1.5,0
2021.1.6,2.3
2021.1.7,
2021.1.8,
2021.1.9,
2021.1.10,
2021.1.11,
2021.1.12,2.6
2021.1.13,0
2021.1.14,
2021.1.15,0.2
2021.1.16,
2021.1.17,0
2021.1.18,0.3
2021.1.19,
2021.1.20,
2021.1.21,9.2
2021.1.22,0.1
2021.1.23,
2021.1.24,
2021.1.25,
2021.1.26,1.7
2021.1.27,
2021.1.28,2
2021.1.29,
2021.1.30,0.5
2021.1.31,
2021.2.1,0.7
2021.2.2,0
2021.2.3,3.4
2021.2.4,0.1
2021.2.5,
2021.2.6,
2021.2.7,
2021.2.8,
2021.2.9,
2021.2.10,
2021.2.11,
2021.2.12,
2021.2.13,
2021.2.14,0
2021.2.15,1.4
2021.2.16,1.5
2021.2.17,0
2021.2.18,
2021.2.19,
2021.2.20,
2021.2.21,
2021.2.22,
2021.2.23,
2021.2.24,
2021.2.25,
2021.2.26,
2021.2.27,
2021.2.28,
2021.3.1,67.5
2021.3.2,0.1
2021.3.3,
2021.3.4,
2021.3.5,
2021.3.6,
2021.3.7,
2021.3.8,
2021.3.9,
2021.3.10,
2021.3.11,
2021.3.12,0
2021.3.13,
2021.3.14,
2021.3.15,1.7
2021.3.16,1.3
2021.3.17,
2021.3.18,
2021.3.19,
2021.3.20,5.1
2021.3.21,0.3
2021.3.22,
2021.3.23,
2021.3.24,
2021.3.25,
2021.3.26,
2021.3.27,25.5
2021.3.28,9.2
2021.3.29,0.2
2021.3.30,
2021.3.31,
2021.4.1,
2021.4.2,0
2021.4.3,56.2
2021.4.4,0.6
2021.4.5,
2021.4.6,
2021.4.7,
2021.4.8,
2021.4.9,
2021.4.10,
2021.4.11,
2021.4.12,22
2021.4.13,8
2021.4.14,
2021.4.15,
2021.4.16,0.7
2021.4.17,0
2021.4.18,
2021.4.19,
2021.4.20,
2021.4.21,
2021.4.22,
2021.4.23,0
2021.4.24,0
2021.4.25,
2021.4.26,
2021.4.27,1.7
2021.4.28,4.7
2021.4.29,3.9
2021.4.30,26.3
2021.5.1,8
2021.5.2,1.7
2021.5.3,
2021.5.4,19.6
2021.5.5,0.1
2021.5.6,
2021.5.7,8.8
2021.5.8,
2021.5.9,
2021.5.10,0
2021.5.11,
2021.5.12,
2021.5.13,
2021.5.14,
2021.5.15,15
2021.5.16,66.9
2021.5.17,3.1
2021.5.18,
2021.5.19,
2021.5.20,0.9
2021.5.21,6.9
2021.5.22,0.2
2021.5.23,
2021.5.24,
2021.5.25,8.3
2021.5.26,0
2021.5.27,8.9
2021.5.28,12.3
2021.5.29,0.3
2021.5.30,18.1
2021.5.31,4
2021.6.1,3.2
2021.6.2,
2021.6.3,18.1
2021.6.4,
2021.6.5,
2021.6.6,
2021.6.7,0
2021.6.8,0.1
2021.6.9,
2021.6.10,6.1
2021.6.11,4.6
2021.6.12,
2021.6.13,
2021.6.14,
2021.6.15,1.9
2021.6.16,
2021.6.17,0
2021.6.18,6.3
2021.6.19,
2021.6.20,
2021.6.21,
2021.6.22,0
2021.6.23,7.5
2021.6.24,
2021.6.25,
2021.6.26,4.5
2021.6.27,38.2
2021.6.28,0.1
2021.6.29,8
2021.6.30,6
2021.7.1,
2021.7.2,
2021.7.3,60
2021.7.4,21.4
2021.7.5,
2021.7.6,
2021.7.7,12.7
2021.7.8,2.9
2021.7.9,0
2021.7.10,0.5
2021.7.11,0.4
2021.7.12,
2021.7.13,
2021.7.14,
2021.7.15,0
2021.7.16,
2021.7.17,0
2021.7.18,
2021.7.19,67.4
2021.7.20,0
2021.7.21,
2021.7.22,
2021.7.23,
2021.7.24,
2021.7.25,
2021.7.26,
2021.7.27,
2021.7.28,0
2021.7.29,
2021.7.30,
2021.7.31,3
2021.8.1,21
2021.8.2,1.7
2021.8.3,0
2021.8.4,
2021.8.5,
2021.8.6,
2021.8.7,
2021.8.8,12.7
2021.8.9,
2021.8.10,
2021.8.11,0
2021.8.12,0
2021.8.13,
2021.8.14,
2021.8.15,
2021.8.16,0
2021.8.17,9.3
2021.8.18,5.6
2021.8.19,
2021.8.20,0
2021.8.21,62.8
2021.8.22,0
2021.8.23,7.4
2021.8.24,10.5
2021.8.25,0.3
2021.8.26,0.7
2021.8.27,0.9
2021.8.28,
2021.8.29,0.9
2021.8.30,0
2021.8.31,77.4
2021.9.1,0.8
2021.9.2,
2021.9.3,
2021.9.4,
2021.9.5,
2021.9.6,12
2021.9.7,29.6
2021.9.8,1.6
2021.9.9,
2021.9.10,
2021.9.11,
2021.9.12,
2021.9.13,
2021.9.14,
2021.9.15,
2021.9.16,
2021.9.17,
2021.9.18,
2021.9.19,
2021.9.20,
2021.9.21,68.1
2021.9.22,4.5
2021.9.23,
2021.9.24,
2021.9.25,
2021.9.26,
2021.9.27,0
2021.9.28,1.3
2021.9.29,13.1
2021.9.30,
2021.10.1,13.3
2021.10.2,
2021.10.3,
2021.10.4,3.6
2021.10.5,0
2021.10.6,6.4
2021.10.7,4.6
